ubigeo_reniec,department_code,department,province_code,province,district
010101,01,AMAZONAS,0101,CHACHAPOYAS,CHACHAPOYAS
010102,01,AMAZONAS,0101,CHACHAPOYAS,ASUNCION
010103,01,AMAZONAS,0101,CHACHAPOYAS,BALSAS
010104,01,AMAZONAS,0101,CHACHAPOYAS,CHETO
010105,01,AMAZONAS,0101,CHACHAPOYAS,CHILIQUIN
010106,01,AMAZONAS,0101,CHACHAPOYAS,CHUQUIBAMBA
010107,01,AMAZONAS,0101,CHACHAPOYAS,GRANADA
010108,01,AMAZONAS,0101,CHACHAPOYAS,HUANCAS
010109,01,AMAZONAS,0101,CHACHAPOYAS,LA JALCA
010110,01,AMAZONAS,0101,CHACHAPOYAS,LEIMEBAMBA
010111,01,AMAZONAS,0101,CHACHAPOYAS,LEVANTO
010112,01,AMAZONAS,0101,CHACHAPOYAS,MAGDALENA
010113,01,AMAZONAS,0101,CHACHAPOYAS,MARISCAL CASTILLA
010114,01,AMAZONAS,0101,CHACHAPOYAS,MOLINOPAMPA
010115,01,AMAZONAS,0101,CHACHAPOYAS,MONTEVIDEO
010116,01,AMAZONAS,0101,CHACHAPOYAS,OLLEROS
010117,01,AMAZONAS,0101,CHACHAPOYAS,QUINJALCA
010118,01,AMAZONAS,0101,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
010119,01,AMAZONAS,0101,CHACHAPOYAS,SAN ISIDRO DE MAINO
010120,01,AMAZONAS,0101,CHACHAPOYAS,SOLOCO
010121,01,AMAZONAS,0101,CHACHAPOYAS,SONCHE
010201,01,AMAZONAS,0102,BAGUA,LA PECA
010202,01,AMAZONAS,0102,BAGUA,ARAMANGO
010203,01,AMAZONAS,0102,BAGUA,COPALLIN
010204,01,AMAZONAS,0102,BAGUA,EL PARCO
010205,01,AMAZONAS,0102,BAGUA,BAGUA
010206,01,AMAZONAS,0102,BAGUA,IMAZA
010301,01,AMAZONAS,0103,BONGARA,JUMBILLA
010302,01,AMAZONAS,0103,BONGARA,COROSHA
010303,01,AMAZONAS,0103,BONGARA,CUISPES
010304,01,AMAZONAS,0103,BONGARA,CHISQUILLA
010305,01,AMAZONAS,0103,BONGARA,CHURUJA
010306,01,AMAZONAS,0103,BONGARA,FLORIDA
010307,01,AMAZONAS,0103,BONGARA,RECTA
010308,01,AMAZONAS,0103,BONGARA,SAN CARLOS
010309,01,AMAZONAS,0103,BONGARA,SHIPASBAMBA
010310,01,AMAZONAS,0103,BONGARA,VALERA
010311,01,AMAZONAS,0103,BONGARA,YAMBRASBAMBA
010312,01,AMAZONAS,0103,BONGARA,JAZAN
010401,01,AMAZONAS,0104,LUYA,LAMUD
010402,01,AMAZONAS,0104,LUYA,CAMPORREDONDO
010403,01,AMAZONAS,0104,LUYA,COCABAMBA
010404,01,AMAZONAS,0104,LUYA,COLCAMAR
010405,01,AMAZONAS,0104,LUYA,CONILA
010406,01,AMAZONAS,0104,LUYA,INGUILPATA
010407,01,AMAZONAS,0104,LUYA,LONGUITA
010408,01,AMAZONAS,0104,LUYA,LONYA CHICO
010409,01,AMAZONAS,0104,LUYA,LUYA
010410,01,AMAZONAS,0104,LUYA,LUYA VIEJO
010411,01,AMAZONAS,0104,LUYA,MARIA
010412,01,AMAZONAS,0104,LUYA,OCALLI
010413,01,AMAZONAS,0104,LUYA,OCUMAL
010414,01,AMAZONAS,0104,LUYA,PISUQUIA
010415,01,AMAZONAS,0104,LUYA,SAN CRISTOBAL
010416,01,AMAZONAS,0104,LUYA,SAN FRANCISCO DE YESO
010417,01,AMAZONAS,0104,LUYA,SAN JERONIMO
010418,01,AMAZONAS,0104,LUYA,SAN JUAN DE LOPECANCHA
010419,01,AMAZONAS,0104,LUYA,SANTA CATALINA
010420,01,AMAZONAS,0104,LUYA,SANTO TOMAS
010421,01,AMAZONAS,0104,LUYA,TINGO
010422,01,AMAZONAS,0104,LUYA,TRITA
010423,01,AMAZONAS,0104,LUYA,PROVIDENCIA
010501,01,AMAZONAS,0105,RODRIGUEZ DE MENDOZA,SAN NICOLAS
010502,01,AMAZONAS,0105,RODRIGUEZ DE MENDOZA,COCHAMAL
010503,01,AMAZONAS,0105,RODRIGUEZ DE MENDOZA,CHIRIMOTO
010504,01,AMAZONAS,0105,RODRIGUEZ DE MENDOZA,HUAMBO
010505,01,AMAZONAS,0105,RODRIGUEZ DE MENDOZA,LIMABAMBA
010506,01,AMAZONAS,0105,RODRIGUEZ DE MENDOZA,LONGAR
010507,01,AMAZONAS,0105,RODRIGUEZ DE MENDOZA,MILPUCC
010508,01,AMAZONAS,0105,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
010509,01,AMAZONAS,0105,RODRIGUEZ DE MENDOZA,OMIA
010510,01,AMAZONAS,0105,RODRIGUEZ DE MENDOZA,SANTA ROSA
010511,01,AMAZONAS,0105,RODRIGUEZ DE MENDOZA,TOTORA
010512,01,AMAZONAS,0105,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
010601,01,AMAZONAS,0106,CONDORCANQUI,NIEVA
010602,01,AMAZONAS,0106,CONDORCANQUI,RIO SANTIAGO
010603,01,AMAZONAS,0106,CONDORCANQUI,EL CENEPA
010701,01,AMAZONAS,0107,UTCUBAMBA,BAGUA GRANDE
010702,01,AMAZONAS,0107,UTCUBAMBA,CAJARURO
010703,01,AMAZONAS,0107,UTCUBAMBA,CUMBA
010704,01,AMAZONAS,0107,UTCUBAMBA,EL MILAGRO
010705,01,AMAZONAS,0107,UTCUBAMBA,JAMALCA
010706,01,AMAZONAS,0107,UTCUBAMBA,LONYA GRANDE
010707,01,AMAZONAS,0107,UTCUBAMBA,YAMON
020101,02,ANCASH,0201,HUARAZ,HUARAZ
020102,02,ANCASH,0201,HUARAZ,INDEPENDENCIA
020103,02,ANCASH,0201,HUARAZ,COCHABAMBA
020104,02,ANCASH,0201,HUARAZ,COLCABAMBA
020105,02,ANCASH,0201,HUARAZ,HUANCHAY
020106,02,ANCASH,0201,HUARAZ,JANGAS
020107,02,ANCASH,0201,HUARAZ,LA LIBERTAD
020108,02,ANCASH,0201,HUARAZ,OLLEROS
020109,02,ANCASH,0201,HUARAZ,PAMPAS GRANDE
020110,02,ANCASH,0201,HUARAZ,PARIACOTO
020111,02,ANCASH,0201,HUARAZ,PIRA
020112,02,ANCASH,0201,HUARAZ,TARICA
020201,02,ANCASH,0202,AIJA,AIJA
020203,02,ANCASH,0202,AIJA,CORIS
020205,02,ANCASH,0202,AIJA,HUACLLAN
020206,02,ANCASH,0202,AIJA,LA MERCED
020208,02,ANCASH,0202,AIJA,SUCCHA
020301,02,ANCASH,0203,BOLOGNESI,CHIQUIAN
020302,02,ANCASH,0203,BOLOGNESI,ABELARDO PARDO LEZAMETA
020304,02,ANCASH,0203,BOLOGNESI,AQUIA
020305,02,ANCASH,0203,BOLOGNESI,CAJACAY
020310,02,ANCASH,0203,BOLOGNESI,HUAYLLACAYAN
020311,02,ANCASH,0203,BOLOGNESI,HUASTA
020313,02,ANCASH,0203,BOLOGNESI,MANGAS
020315,02,ANCASH,0203,BOLOGNESI,PACLLON
020317,02,ANCASH,0203,BOLOGNESI,SAN MIGUEL DE CORPANQUI
020320,02,ANCASH,0203,BOLOGNESI,TICLLOS
020321,02,ANCASH,0203,BOLOGNESI,ANTONIO RAIMONDI
020322,02,ANCASH,0203,BOLOGNESI,CANIS
020323,02,ANCASH,0203,BOLOGNESI,COLQUIOC
020324,02,ANCASH,0203,BOLOGNESI,LA PRIMAVERA
020325,02,ANCASH,0203,BOLOGNESI,HUALLANCA
020401,02,ANCASH,0204,CARHUAZ,CARHUAZ
020402,02,ANCASH,0204,CARHUAZ,ACOPAMPA
020403,02,ANCASH,0204,CARHUAZ,AMASHCA
020404,02,ANCASH,0204,CARHUAZ,ANTA
020405,02,ANCASH,0204,CARHUAZ,ATAQUERO
020406,02,ANCASH,0204,CARHUAZ,MARCARA
020407,02,ANCASH,0204,CARHUAZ,PARIAHUANCA
020408,02,ANCASH,0204,CARHUAZ,SAN MIGUEL DE ACO
020409,02,ANCASH,0204,CARHUAZ,SHILLA
020410,02,ANCASH,0204,CARHUAZ,TINCO
020411,02,ANCASH,0204,CARHUAZ,YUNGAR
020501,02,ANCASH,0205,CASMA,CASMA
020502,02,ANCASH,0205,CASMA,BUENA VISTA ALTA
020503,02,ANCASH,0205,CASMA,COMANDANTE NOEL
020505,02,ANCASH,0205,CASMA,YAUTAN
020601,02,ANCASH,0206,CORONGO,CORONGO
020602,02,ANCASH,0206,CORONGO,ACO
020603,02,ANCASH,0206,CORONGO,BAMBAS
020604,02,ANCASH,0206,CORONGO,CUSCA
020605,02,ANCASH,0206,CORONGO,LA PAMPA
020606,02,ANCASH,0206,CORONGO,YANAC
020607,02,ANCASH,0206,CORONGO,YUPAN
020701,02,ANCASH,0207,HUAYLAS,CARAZ
020702,02,ANCASH,0207,HUAYLAS,HUALLANCA
020703,02,ANCASH,0207,HUAYLAS,HUATA
020704,02,ANCASH,0207,HUAYLAS,HUAYLAS
020705,02,ANCASH,0207,HUAYLAS,MATO
020706,02,ANCASH,0207,HUAYLAS,PAMPAROMAS
020707,02,ANCASH,0207,HUAYLAS,PUEBLO LIBRE
020708,02,ANCASH,0207,HUAYLAS,SANTA CRUZ
020709,02,ANCASH,0207,HUAYLAS,YURACMARCA
020710,02,ANCASH,0207,HUAYLAS,SANTO TORIBIO
